id,optsoln
3,11.0
4,13.0
5,9.0
6,10.0
7,13.999999999999998
8,9.0
9,8.0
10,12.000000000000002
11,12.0
12,8.0
13,8.0
14,13.999999999999998
15,14.0
16,13.0
17,9.0
18,105.00000000000009
19,5.999999999999999
20,14.999999999999998
21,13.999999999999998
22,25.0
23,14.999999999999998
24,22.0
25,14.000000000000002
26,14.0
27,8.0
29,394.99999999999994
30,12.0
31,12.0
32,9.0
33,15.0
34,9.0
35,13.0
36,17.0
37,6.000000000000001
38,45.0
39,21.0
40,13.0
41,15.000000000000002
42,17.0
43,15.0
44,13.0
45,18.0
46,13.0
47,11.0
48,29.0
49,12.0
50,14.0
51,5.0
52,12.0
53,19.0
54,14.000000000000002
55,11.0
56,5.0
57,9.0
58,17.0
59,12.000000000000002
60,14.0
61,18.0
62,8.0
63,9.999999999999998
64,16.0
65,8.0
66,6.000000000000001
67,12.0
68,6.0
69,12.999999999999998
70,13.0
71,5.0
72,12.0
73,7.0
74,16.0
75,9.999999999999998
76,9.0
77,4.0
78,5.999999999999999
79,8.0
80,11.999999999999998
81,8.0
82,5.0
83,5.0
84,7.0
85,4.0
86,6.0
87,7.0
88,6.0
89,5.000000000000001
90,7.0
91,6.999999999999999
92,3.0
93,3.0
94,5.999999999999999
95,6.0
96,3.0000000000000004
97,5.0
98,9.999999999999998
