CompanyNumber,TotalCompensation,Years,ChangeStockPrice,ChangeCompanySales,MBA
1,1530,7,48,89,1
2,1117,6,35,19,1
3,602,3,9,24,0
4,1170,6,37,8,1
5,1086,6,34,28,0
6,2536,9,81,-16,1
7,300,2,-17,-17,0
8,670,2,-15,-67,1
9,250,0,-52,49,0
10,2413,10,109,-27,1
11,2707,7,44,26,1
12,341,1,28,-7,0
13,734,4,10,-7,0
14,2368,8,16,-4,0
15,743,4,11,50,1
16,898,7,-21,-20,1
17,498,4,16,-24,0
18,250,2,-10,64,0
19,1388,4,8,-58,1
20,898,5,28,-73,1
21,408,4,13,31,1
22,1091,6,34,66,0
23,1550,7,49,-4,1
24,832,5,26,55,0
25,1462,7,46,10,1
26,1456,7,46,-5,1
27,1984,8,63,28,1
28,1493,10,12,-36,0
29,2021,7,48,72,1
30,2871,8,7,5,1
31,245,0,-58,-16,1
32,3217,11,102,51,1
33,1315,7,42,-7,0
34,1730,9,55,122,1
35,260,0,-54,-41,1
36,250,2,-17,-35,0
37,718,5,23,19,1
38,1593,8,66,76,1
39,1905,8,67,-48,1
40,2283,5,21,64,1
41,2253,7,46,104,1
42,254,0,-41,99,0
43,1883,8,60,-12,1
44,1501,5,10,20,1
45,386,0,-17,-18,0
46,2181,11,37,27,1
47,1766,6,40,41,1
48,1897,8,-24,-41,1
49,1157,5,21,87,1
50,246,3,1,-34,0
