State,Year,SurveyUSA,DiffCount,Republican
Alabama,2004,18,5,1
Alabama,2008,25,5,1
Alaska,2004,21,1,1
Alaska,2008,18,6,1
Arizona,2004,15,8,1
Arizona,2008,3,9,1
Arizona,2012,5,4,1
Arkansas,2004,5,8,1
Arkansas,2008,7,5,1
Arkansas,2012,21,2,1
California,2004,-11,-8,0
California,2008,-24,-5,0
California,2012,-14,-6,0
Colorado,2004,3,9,1
Colorado,2008,-1,-15,0
Colorado,2012,-2,-5,0
Connecticut,2004,-33,-3,0
Connecticut,2008,-16,-4,0
Connecticut,2012,-13,-8,0
Delaware,2004,-16,-2,0
Delaware,2008,-30,-4,0
Florida,2004,1,0,1
Florida,2008,-3,-13,0
Florida,2012,0,6,0
Georgia,2004,12,4,1
Georgia,2008,7,9,1
Georgia,2012,8,4,1
Hawaii,2004,4,2,0
Hawaii,2008,-24,-1,0
Hawaii,2012,-24,-2,0
Idaho,2004,22,1,1
Idaho,2008,30,1,1
Idaho,2012,24,1,1
Illinois,2004,-12,-5,0
Illinois,2008,-33,-5,0
Illinois,2012,-16,-5,0
Indiana,2004,19,3,1
Indiana,2008,0,2,0
Indiana,2012,18,3,1
Iowa,2004,-3,5,1
Iowa,2008,-15,-8,0
Iowa,2012,-2,-2,0
Kansas,2004,23,3,1
Kansas,2008,21,2,1
Kansas,2012,9,1,1
Kentucky,2004,21,3,1
Kentucky,2008,16,5,1
Kentucky,2012,14,1,1
Louisiana,2004,7,5,1
Louisiana,2008,21,2,1
Louisiana,2012,21,2,1
Maine,2004,-8,-6,0
Maine,2008,-15,-6,0
Maine,2012,-7,-6,0
Maryland,2004,-11,-6,0
Maryland,2008,-29,-1,0
Maryland,2012,-29,-4,0
Massachusetts,2004,-29,-2,0
Massachusetts,2008,-17,-4,0
Massachusetts,2012,-30,-8,0
Michigan,2004,-29,-2,0
Michigan,2008,-11,-11,0
Michigan,2012,-11,-10,0
Minnesota,2004,-1,-7,0
Minnesota,2008,-3,-14,0
Minnesota,2012,-11,-5,0
Mississippi,2004,25,1,1
Mississippi,2008,7,4,1
Mississippi,2012,8,1,1
Missouri,2004,5,8,1
Missouri,2008,0,4,1
Missouri,2012,7,8,1
Montana,2004,21,3,1
Montana,2008,8,4,1
Montana,2012,12,5,1
Nebraska,2004,30,2,1
Nebraska,2008,22,1,1
Nebraska,2012,25,2,1
Nevada,2004,8,9,1
Nevada,2008,0,-9,0
Nevada,2012,-4,-10,0
New Hampshire,2004,-1,-5,0
New Hampshire,2008,-11,-14,0
New Hampshire,2012,-11,-8,0
New Jersey,2004,-12,-8,0
New Jersey,2008,-10,-9,0
New Jersey,2012,-14,-9,0
New Mexico,2004,0,2,1
New Mexico,2008,-7,-6,0
New Mexico,2012,-7,-5,0
New York,2004,-18,-6,0
New York,2008,-33,-5,0
New York,2012,-29,-5,0
North Carolina,2004,8,7,1
North Carolina,2008,1,-5,0
North Carolina,2012,5,3,1
North Dakota,2004,25,2,1
North Dakota,2008,5,0,1
North Dakota,2012,21,4,1
Ohio,2004,2,3,1
Ohio,2008,-2,-16,0
Ohio,2012,-5,-16,0
Oklahoma,2004,30,4,1
Oklahoma,2008,24,2,1
Oklahoma,2012,24,1,1
Oregon,2004,-3,-8,0
Oregon,2008,-19,-9,0
Oregon,2012,-7,-4,0
Pennsylvania,2004,-1,-12,0
Pennsylvania,2008,-9,-19,0
Pennsylvania,2012,0,-13,0
Rhode Island,2004,-13,-2,0
Rhode Island,2008,-29,-1,0
Rhode Island,2012,-17,-2,0
South Carolina,2004,18,4,1
South Carolina,2008,8,5,1
South Carolina,2012,23,1,1
South Dakota,2004,8,4,1
South Dakota,2008,7,4,1
South Dakota,2012,16,1,1
Tennessee,2004,18,7,1
Tennessee,2008,8,5,1
Tennessee,2012,24,1,1
Texas,2004,22,2,1
Texas,2008,7,5,1
Texas,2012,12,4,1
Utah,2004,18,3,1
Utah,2008,30,3,1
Utah,2012,22,1,1
Vermont,2004,-16,-2,0
Vermont,2008,-24,-2,0
Virginia,2004,4,5,1
Virginia,2008,-4,-18,0
Virginia,2012,-2,-4,0
Washington,2004,-4,-10,0
Washington,2008,-16,-6,0
Washington,2012,-14,-8,0
West Virginia,2004,5,6,1
West Virginia,2008,15,11,1
West Virginia,2012,19,1,1
Wisconsin,2004,-5,1,0
Wisconsin,2008,-16,-12,0
Wisconsin,2012,-4,-8,0
Wyoming,2004,30,1,1
Wyoming,2008,21,3,1
